"CA","TX","WI","Total","date","event_type","snap_CA","snap_TX","snap_WI"
17841,12964,12504,43309,2012-06-09,NA,1,1,1
20274,13861,10809,44944,2012-06-10,NA,1,0,0
16775,12000,10861,39636,2012-06-11,NA,0,1,1
14676,10051,10347,35074,2012-06-12,"Sporting",0,1,1
13940,10428,8562,32930,2012-06-13,NA,0,1,0
14393,9470,9919,33782,2012-06-14,NA,0,0,1
17087,12276,12435,41798,2012-06-15,NA,0,1,1
19531,13073,11834,44438,2012-06-16,NA,0,0,0
17345,12530,9164,39039,2012-06-17,"Cultural",0,0,0
15141,10337,8622,34100,2012-06-18,NA,0,0,0
14078,8837,9052,31967,2012-06-19,NA,0,0,0
13617,9277,8574,31468,2012-06-20,NA,0,0,0
13504,8936,8324,30764,2012-06-21,"Sporting",0,0,0
16055,10678,9744,36477,2012-06-22,NA,0,0,0
17793,12009,10208,40010,2012-06-23,NA,0,0,0
18336,12518,9655,40509,2012-06-24,NA,0,0,0
13793,10251,7803,31847,2012-06-25,NA,0,0,0
12368,9153,7850,29371,2012-06-26,NA,0,0,0
12521,8784,7580,28885,2012-06-27,NA,0,0,0
13366,8339,7880,29585,2012-06-28,NA,0,0,0
15521,10385,10471,36377,2012-06-29,NA,0,0,0
17961,11189,11444,40594,2012-06-30,NA,0,0,0
18577,12257,9865,40699,2012-07-01,NA,1,1,0
15238,9544,11081,35863,2012-07-02,NA,1,0,1
16147,10825,12570,39542,2012-07-03,NA,1,1,1
13944,9860,8852,32656,2012-07-04,"National",1,0,0
13675,9626,11107,34408,2012-07-05,NA,1,1,1
16184,11319,12488,39991,2012-07-06,NA,1,1,1
17614,12879,10938,41431,2012-07-07,NA,1,1,0
19172,11795,11705,42672,2012-07-08,NA,1,0,1
15720,9576,10474,35770,2012-07-09,NA,1,1,1
15098,8763,8726,32587,2012-07-10,NA,1,0,0
13924,9426,9722,33072,2012-07-11,NA,0,1,1
13841,9163,10073,33077,2012-07-12,NA,0,1,1
15643,10867,10072,36582,2012-07-13,NA,0,1,0
17819,12206,12323,42348,2012-07-14,NA,0,0,1
18103,13205,12381,43689,2012-07-15,NA,0,1,1
14147,9364,9509,33020,2012-07-16,NA,0,0,0
13532,8462,8424,30418,2012-07-17,NA,0,0,0
12834,8374,7708,28916,2012-07-18,NA,0,0,0
14045,9051,7768,30864,2012-07-19,NA,0,0,0
15803,10581,9018,35402,2012-07-20,"Religious",0,0,0
17811,11633,10100,39544,2012-07-21,NA,0,0,0
18734,12342,8876,39952,2012-07-22,NA,0,0,0
14194,8742,7928,30864,2012-07-23,NA,0,0,0
13219,8656,7604,29479,2012-07-24,NA,0,0,0
12805,8142,7407,28354,2012-07-25,NA,0,0,0
13096,8255,7187,28538,2012-07-26,NA,0,0,0
14101,9333,8406,31840,2012-07-27,NA,0,0,0
15373,10809,8406,34588,2012-07-28,NA,0,0,0
16011,11602,8534,36147,2012-07-29,NA,0,0,0
12750,8683,7500,28933,2012-07-30,NA,0,0,0
13568,8606,7357,29531,2012-07-31,NA,0,0,0
14121,10608,9241,33970,2012-08-01,NA,1,1,0
15275,9864,10121,35260,2012-08-02,NA,1,0,1
16593,11185,11733,39511,2012-08-03,NA,1,1,1
18433,12626,10217,41276,2012-08-04,NA,1,0,0
19272,12506,11231,43009,2012-08-05,NA,1,1,1
16003,11093,9928,37024,2012-08-06,NA,1,1,1
14359,10129,7906,32394,2012-08-07,NA,1,1,0
14237,8853,9211,32301,2012-08-08,NA,1,0,1
14908,10141,9959,35008,2012-08-09,NA,1,1,1
16846,9842,9777,36465,2012-08-10,NA,1,0,0
19618,13363,11100,44081,2012-08-11,NA,0,1,1
19675,14274,11849,45798,2012-08-12,NA,0,1,1
15647,11784,8599,36030,2012-08-13,NA,0,1,0
15103,9529,9680,34312,2012-08-14,NA,0,0,1
14431,10688,10378,35497,2012-08-15,NA,0,1,1
14885,10244,9276,34405,2012-08-16,NA,0,0,0
15667,10706,9084,35457,2012-08-17,NA,0,0,0
19446,11742,10333,41521,2012-08-18,NA,0,0,0
20637,13269,9458,43364,2012-08-19,"Religious",0,0,0
14856,9809,7745,32410,2012-08-20,NA,0,0,0
13795,8754,7657,30206,2012-08-21,NA,0,0,0
13279,8666,6977,28922,2012-08-22,NA,0,0,0
12454,8916,7182,28552,2012-08-23,NA,0,0,0
14717,9910,8417,33044,2012-08-24,NA,0,0,0
17991,12399,9574,39964,2012-08-25,NA,0,0,0
18447,13402,9172,41021,2012-08-26,NA,0,0,0
13487,9860,7663,31010,2012-08-27,NA,0,0,0
12446,8626,7400,28472,2012-08-28,NA,0,0,0
12216,7822,7063,27101,2012-08-29,NA,0,0,0
12468,8389,7446,28303,2012-08-30,NA,0,0,0
15594,10350,11148,37092,2012-08-31,NA,0,0,0
19396,13998,11236,44630,2012-09-01,NA,1,1,0
18287,12397,12135,42819,2012-09-02,NA,1,0,1
19074,13484,11967,44525,2012-09-03,"National",1,1,1
14368,9054,8457,31879,2012-09-04,NA,1,0,0
13105,9408,9341,31854,2012-09-05,NA,1,1,1
13466,9868,9241,32575,2012-09-06,NA,1,1,1
15010,11088,8677,34775,2012-09-07,NA,1,1,0
18574,12389,12255,43218,2012-09-08,NA,1,0,1
20447,13874,12328,46649,2012-09-09,NA,1,1,1
15467,9698,7807,32972,2012-09-10,NA,1,0,0
13975,9248,9147,32370,2012-09-11,NA,0,1,1
12376,9088,9554,31018,2012-09-12,NA,0,1,1
13077,9025,8040,30142,2012-09-13,NA,0,1,0
14995,10174,11190,36359,2012-09-14,NA,0,0,1
18557,13821,13581,45959,2012-09-15,NA,0,1,1
19480,13502,11304,44286,2012-09-16,NA,0,0,0
13539,10041,8280,31860,2012-09-17,NA,0,0,0
12917,8364,7995,29276,2012-09-18,NA,0,0,0
11513,8221,7331,27065,2012-09-19,NA,0,0,0
12446,8486,7625,28557,2012-09-20,NA,0,0,0
14819,9852,8963,33634,2012-09-21,NA,0,0,0
18583,12772,10534,41889,2012-09-22,NA,0,0,0
18358,13063,9941,41362,2012-09-23,NA,0,0,0
13141,9124,6911,29176,2012-09-24,NA,0,0,0
12357,8552,7070,27979,2012-09-25,NA,0,0,0
11735,8337,6860,26932,2012-09-26,NA,0,0,0
12002,8238,6991,27231,2012-09-27,NA,0,0,0
14550,9331,8775,32656,2012-09-28,NA,0,0,0
18164,11862,10955,40981,2012-09-29,NA,0,0,0
18310,12086,9340,39736,2012-09-30,NA,0,0,0
15728,11017,8096,34841,2012-10-01,NA,1,1,0
15113,9059,9658,33830,2012-10-02,NA,1,0,1
14297,9821,10102,34220,2012-10-03,NA,1,1,1
13337,8576,8162,30075,2012-10-04,NA,1,0,0
14559,10156,9873,34588,2012-10-05,NA,1,1,1
18576,12825,12639,44040,2012-10-06,NA,1,1,1
18997,13041,9834,41872,2012-10-07,NA,1,1,0
15393,9386,9011,33790,2012-10-08,"National",1,0,1
13502,9538,9255,32295,2012-10-09,NA,1,1,1
12974,8919,8076,29969,2012-10-10,NA,1,0,0
11826,9360,8812,29998,2012-10-11,NA,0,1,1
14209,10577,10266,35052,2012-10-12,NA,0,1,1
17236,13634,11356,42226,2012-10-13,NA,0,1,0
17899,13183,11155,42237,2012-10-14,NA,0,0,1
12972,11156,9556,33684,2012-10-15,NA,0,1,1
11722,8284,7863,27869,2012-10-16,NA,0,0,0
11706,8733,6664,27103,2012-10-17,NA,0,0,0
11551,8418,6200,26169,2012-10-18,NA,0,0,0
12990,9109,7612,29711,2012-10-19,NA,0,0,0
16664,11439,8586,36689,2012-10-20,NA,0,0,0
17360,12209,7418,36987,2012-10-21,NA,0,0,0
12433,8776,5503,26712,2012-10-22,NA,0,0,0
11249,8167,6003,25419,2012-10-23,NA,0,0,0
10546,8201,5643,24390,2012-10-24,NA,0,0,0
10821,7807,5684,24312,2012-10-25,NA,0,0,0
12461,8721,10681,31863,2012-10-26,"Religious",0,0,0
15999,10430,12118,38547,2012-10-27,NA,0,0,0
16457,10910,9817,37184,2012-10-28,NA,0,0,0
12014,8160,7407,27581,2012-10-29,NA,0,0,0
12499,8066,7515,28080,2012-10-30,NA,0,0,0
9984,7704,7287,24975,2012-10-31,"Cultural",0,0,0
12550,9145,9356,31051,2012-11-01,NA,1,1,0
14256,9280,11978,35514,2012-11-02,NA,1,0,1
18203,11805,15071,45079,2012-11-03,NA,1,1,1
18597,12091,11857,42545,2012-11-04,NA,1,0,0
13423,9469,10165,33057,2012-11-05,NA,1,1,1
12078,8653,9783,30514,2012-11-06,NA,1,1,1
12254,9080,8349,29683,2012-11-07,NA,1,1,0
12254,8354,10149,30757,2012-11-08,NA,1,0,1
14020,10011,11691,35722,2012-11-09,NA,1,1,1
18128,11467,13289,42884,2012-11-10,NA,1,0,0
17170,12743,13604,43517,2012-11-11,"National",0,1,1
13310,9435,10468,33213,2012-11-12,NA,0,1,1
11167,8507,8634,28308,2012-11-13,NA,0,1,0
10396,7757,9682,27835,2012-11-14,NA,0,0,1
10950,8808,9955,29713,2012-11-15,NA,0,1,1
12996,8681,9939,31616,2012-11-16,NA,0,0,0
16701,11297,12443,40441,2012-11-17,NA,0,0,0
16316,10920,10340,37576,2012-11-18,NA,0,0,0
12791,8803,7736,29330,2012-11-19,NA,0,0,0
12980,9077,8217,30274,2012-11-20,NA,0,0,0
13964,11863,9381,35208,2012-11-21,NA,0,0,0
8002,8259,5648,21909,2012-11-22,"National",0,0,0
9717,7014,6692,23423,2012-11-23,NA,0,0,0
12264,8855,8897,30016,2012-11-24,NA,0,0,0
13768,9632,9332,32732,2012-11-25,NA,0,0,0
11563,7772,7141,26476,2012-11-26,NA,0,0,0
10421,6837,7231,24489,2012-11-27,NA,0,0,0
9809,6743,6993,23545,2012-11-28,NA,0,0,0
9939,6753,7176,23868,2012-11-29,NA,0,0,0
11540,8821,10028,30389,2012-11-30,NA,0,0,0
18180,12408,11908,42496,2012-12-01,NA,1,1,0
15828,12044,13068,40940,2012-12-02,NA,1,0,1
14358,10063,10916,35337,2012-12-03,NA,1,1,1
12172,7581,9066,28819,2012-12-04,NA,1,0,0
11539,9079,10566,31184,2012-12-05,NA,1,1,1
12123,8908,10093,31124,2012-12-06,NA,1,1,1
13740,9950,9904,33594,2012-12-07,NA,1,1,0
16734,11639,13200,41573,2012-12-08,NA,1,0,1
17164,12532,12830,42526,2012-12-09,NA,1,1,1
14030,8088,8971,31089,2012-12-10,NA,1,0,0
12154,8368,9776,30298,2012-12-11,NA,0,1,1
11147,8821,10048,30016,2012-12-12,NA,0,1,1
11481,8892,8298,28671,2012-12-13,NA,0,1,0
12586,9219,11097,32902,2012-12-14,NA,0,0,1
16288,12347,13755,42390,2012-12-15,NA,0,1,1
16738,11821,11494,40053,2012-12-16,"Religious",0,0,0
12454,9757,8814,31025,2012-12-17,NA,0,0,0
12715,9215,8324,30254,2012-12-18,NA,0,0,0
11471,9340,10971,31782,2012-12-19,NA,0,0,0
12640,9571,8661,30872,2012-12-20,NA,0,0,0
13684,9543,9621,32848,2012-12-21,NA,0,0,0
16669,11111,12235,40015,2012-12-22,NA,0,0,0
15476,11884,11627,38987,2012-12-23,NA,0,0,0
13360,10404,8859,32623,2012-12-24,NA,0,0,0
6,2,3,11,2012-12-25,"National",0,0,0
12072,10020,7609,29701,2012-12-26,NA,0,0,0
12289,8507,8290,29086,2012-12-27,NA,0,0,0
12801,9991,9555,32347,2012-12-28,NA,0,0,0
15204,10819,11131,37154,2012-12-29,NA,0,0,0
15023,10801,9875,35699,2012-12-30,NA,0,0,0
13715,10576,10745,35036,2012-12-31,NA,0,0,0
9640,8334,6113,24087,2013-01-01,"National",1,1,0
13252,8387,10545,32184,2013-01-02,NA,1,0,1
14202,10069,11970,36241,2013-01-03,NA,1,1,1
14526,8861,10355,33742,2013-01-04,NA,1,0,0
17101,11310,14876,43287,2013-01-05,NA,1,1,1
17773,12705,13516,43994,2013-01-06,NA,1,1,1
13805,10644,9068,33517,2013-01-07,"Religious",1,1,0
13098,8035,10087,31220,2013-01-08,NA,1,0,1
11387,7519,10626,29532,2013-01-09,NA,1,1,1
12615,8402,8776,29793,2013-01-10,NA,1,0,0
13487,9521,11468,34476,2013-01-11,NA,0,1,1
17781,12952,15145,45878,2013-01-12,NA,0,1,1
17260,12369,10578,40207,2013-01-13,NA,0,1,0
12151,8407,10056,30614,2013-01-14,NA,0,0,1
11634,8313,10954,30901,2013-01-15,NA,0,1,1
11598,8192,9012,28802,2013-01-16,NA,0,0,0
11854,7923,8593,28370,2013-01-17,NA,0,0,0
13495,9210,10107,32812,2013-01-18,NA,0,0,0
17671,11441,13155,42267,2013-01-19,NA,0,0,0
15199,11493,10349,37041,2013-01-20,NA,0,0,0
13849,9222,7816,30887,2013-01-21,"National",0,0,0
11368,7516,6672,25556,2013-01-22,NA,0,0,0
10669,7396,7529,25594,2013-01-23,NA,0,0,0
10077,7494,7396,24967,2013-01-24,NA,0,0,0
13134,8224,8494,29852,2013-01-25,NA,0,0,0
17658,10988,12047,40693,2013-01-26,NA,0,0,0
17206,11222,9999,38427,2013-01-27,NA,0,0,0
11924,8348,7524,27796,2013-01-28,NA,0,0,0
11258,7204,7087,25549,2013-01-29,NA,0,0,0
10263,7071,6189,23523,2013-01-30,NA,0,0,0
11785,7477,7489,26751,2013-01-31,NA,0,0,0
15823,11282,11971,39076,2013-02-01,NA,1,1,0
21731,13342,15959,51032,2013-02-02,NA,1,0,1
15365,12674,13519,41558,2013-02-03,"Sporting",1,1,1
12548,8661,7783,28992,2013-02-04,NA,1,0,0
11910,9433,10290,31633,2013-02-05,NA,1,1,1
11924,8777,11236,31937,2013-02-06,NA,1,1,1
12428,9930,7341,29699,2013-02-07,NA,1,1,0
13986,10281,11279,35546,2013-02-08,NA,1,0,1
17488,13094,15270,45852,2013-02-09,NA,1,1,1
17372,13720,12818,43910,2013-02-10,NA,1,0,0
14864,10046,11707,36617,2013-02-11,NA,0,1,1
13291,10406,12444,36141,2013-02-12,NA,0,1,1
14147,12009,12395,38551,2013-02-13,"Religious",0,1,0
11196,8580,10433,30209,2013-02-14,"Cultural",0,0,1
14178,10631,13451,38260,2013-02-15,NA,0,1,1
17563,12785,14809,45157,2013-02-16,NA,0,0,0
17250,14094,13309,44653,2013-02-17,NA,0,0,0
15076,10486,9076,34638,2013-02-18,"National",0,0,0
11609,9169,7470,28248,2013-02-19,NA,0,0,0
12233,8850,9118,30201,2013-02-20,"Religious",0,0,0
12258,9297,9853,31408,2013-02-21,NA,0,0,0
14171,9665,8727,32563,2013-02-22,NA,0,0,0
18348,12066,12617,43031,2013-02-23,NA,0,0,0
18358,13694,12090,44142,2013-02-24,"Religious",0,0,0
13713,9352,8955,32020,2013-02-25,NA,0,0,0
11596,8567,7165,27328,2013-02-26,NA,0,0,0
11844,8503,7537,27884,2013-02-27,NA,0,0,0
12625,8430,9319,30374,2013-02-28,NA,0,0,0
16092,11283,12076,39451,2013-03-01,NA,1,1,0
20494,13200,16078,49772,2013-03-02,NA,1,0,1
19787,13493,14967,48247,2013-03-03,NA,1,1,1
14410,10021,11386,35817,2013-03-04,NA,1,0,0
13081,9651,8504,31236,2013-03-05,NA,1,1,1
12395,9324,10309,32028,2013-03-06,NA,1,1,1
11588,9355,8827,29770,2013-03-07,NA,1,1,0
14704,8642,10946,34292,2013-03-08,NA,1,0,1
18334,12272,14283,44889,2013-03-09,NA,1,1,1
18868,12340,12900,44108,2013-03-10,NA,1,0,0
14548,11331,10559,36438,2013-03-11,NA,0,1,1
12768,10256,10768,33792,2013-03-12,NA,0,1,1
12532,10092,9184,31808,2013-03-13,NA,0,1,0
12904,9410,10853,33167,2013-03-14,NA,0,0,1
14889,10761,11851,37501,2013-03-15,NA,0,1,1
17726,11876,14050,43652,2013-03-16,NA,0,0,0
18239,12361,11970,42570,2013-03-17,"Cultural",0,0,0
13262,9923,8180,31365,2013-03-18,NA,0,0,0
11851,8708,8453,29012,2013-03-19,NA,0,0,0
12716,8318,8422,29456,2013-03-20,NA,0,0,0
12561,8798,8283,29642,2013-03-21,NA,0,0,0
14455,9469,9244,33168,2013-03-22,NA,0,0,0
17535,11267,11818,40620,2013-03-23,NA,0,0,0
17216,12057,11360,40633,2013-03-24,NA,0,0,0
13051,8735,7881,29667,2013-03-25,NA,0,0,0
12098,8465,8069,28632,2013-03-26,NA,0,0,0
12240,8188,7830,28258,2013-03-27,NA,0,0,0
13025,8223,8406,29654,2013-03-28,NA,0,0,0
15732,11323,11012,38067,2013-03-29,NA,0,0,0
19945,13001,13464,46410,2013-03-30,NA,0,0,0
13769,11899,8780,34448,2013-03-31,"Cultural",0,0,0
14427,10745,9350,34522,2013-04-01,NA,1,1,0
14391,8958,11293,34642,2013-04-02,"Religious",1,0,1
14759,9062,11773,35594,2013-04-03,NA,1,1,1
14109,8925,9140,32174,2013-04-04,NA,1,0,0
16073,10519,11464,38056,2013-04-05,NA,1,1,1
19195,12876,14750,46821,2013-04-06,NA,1,1,1
20337,13965,12142,46444,2013-04-07,NA,1,1,0
14638,10104,10275,35017,2013-04-08,NA,1,0,1
14564,10052,9134,33750,2013-04-09,NA,1,1,1
14230,8392,8819,31441,2013-04-10,NA,1,0,0
13647,9502,9543,32692,2013-04-11,NA,0,1,1
14782,10013,11287,36082,2013-04-12,NA,0,1,1
18260,12536,12849,43645,2013-04-13,NA,0,1,0
18310,12931,12749,43990,2013-04-14,NA,0,0,1
13807,11045,9250,34102,2013-04-15,NA,0,1,1
13180,8993,8866,31039,2013-04-16,NA,0,0,0
12736,8473,7606,28815,2013-04-17,NA,0,0,0
12629,8158,7687,28474,2013-04-18,NA,0,0,0
14810,9635,8384,32829,2013-04-19,NA,0,0,0
18193,11886,10778,40857,2013-04-20,NA,0,0,0
19123,11536,9272,39931,2013-04-21,NA,0,0,0
14251,8935,6765,29951,2013-04-22,NA,0,0,0
12559,8472,6028,27059,2013-04-23,NA,0,0,0
12542,7996,7069,27607,2013-04-24,NA,0,0,0
12533,7797,7146,27476,2013-04-25,NA,0,0,0
14093,9423,7690,31206,2013-04-26,NA,0,0,0
17185,8624,9520,35329,2013-04-27,NA,0,0,0
18028,12207,8667,38902,2013-04-28,NA,0,0,0
12903,7869,6673,27445,2013-04-29,NA,0,0,0
13258,8124,6762,28144,2013-04-30,NA,0,0,0
14286,9197,7875,31358,2013-05-01,NA,1,1,0
14214,8125,9402,31741,2013-05-02,NA,1,0,1
16459,9650,10841,36950,2013-05-03,NA,1,1,1
18770,10800,11242,40812,2013-05-04,NA,1,0,0
18927,12305,11971,43203,2013-05-05,"Religious",1,1,1
15987,9847,9534,35368,2013-05-06,NA,1,1,1
14308,9495,7870,31673,2013-05-07,NA,1,1,0
13429,9106,8811,31346,2013-05-08,NA,1,0,1
13958,9446,9534,32938,2013-05-09,NA,1,1,1
15462,8519,9516,33497,2013-05-10,NA,1,0,0
20060,12328,12997,45385,2013-05-11,NA,0,1,1
16414,11379,9597,37390,2013-05-12,"Cultural",0,1,1
14890,11084,8635,34609,2013-05-13,NA,0,1,0
14287,9457,9141,32885,2013-05-14,NA,0,0,1
14158,9990,10463,34611,2013-05-15,NA,0,1,1
13562,9500,8875,31937,2013-05-16,NA,0,0,0
14936,10055,9691,34682,2013-05-17,NA,0,0,0
18020,12789,10021,40830,2013-05-18,NA,0,0,0
19633,13340,9700,42673,2013-05-19,NA,0,0,0
15437,10096,8113,33646,2013-05-20,NA,0,0,0
13479,8931,7876,30286,2013-05-21,NA,0,0,0
13096,8912,6927,28935,2013-05-22,NA,0,0,0
14016,8753,8133,30902,2013-05-23,NA,0,0,0
15787,10225,9069,35081,2013-05-24,NA,0,0,0
17170,11816,10157,39143,2013-05-25,NA,0,0,0
16344,11647,8058,36049,2013-05-26,NA,0,0,0
17033,11139,8105,36277,2013-05-27,"National",0,0,0
13924,8608,6766,29298,2013-05-28,NA,0,0,0
12350,7644,6973,26967,2013-05-29,NA,0,0,0
12661,8329,7135,28125,2013-05-30,NA,0,0,0
16213,9646,10227,36086,2013-05-31,NA,0,0,0
19759,13829,11220,44808,2013-06-01,NA,1,1,0
21500,12868,13134,47502,2013-06-02,NA,1,0,1
16824,11180,11241,39245,2013-06-03,NA,1,1,1
15176,9546,9087,33809,2013-06-04,NA,1,0,0
15639,10579,9693,35911,2013-06-05,NA,1,1,1
14096,10520,9550,34166,2013-06-06,"Sporting",1,1,1
17107,11280,9215,37602,2013-06-07,NA,1,1,0
20488,12262,11897,44647,2013-06-08,NA,1,0,1
21873,13317,12974,48164,2013-06-09,NA,1,1,1
17630,10451,8688,36769,2013-06-10,NA,1,0,0
15070,10312,9243,34625,2013-06-11,NA,0,1,1
14339,10052,9551,33942,2013-06-12,NA,0,1,1
14910,10524,8754,34188,2013-06-13,NA,0,1,0
17282,11206,11279,39767,2013-06-14,NA,0,0,1
19445,13512,13352,46309,2013-06-15,NA,0,1,1
17574,12677,9439,39690,2013-06-16,"Cultural",0,0,0
15253,10240,8625,34118,2013-06-17,NA,0,0,0
14223,9217,7737,31177,2013-06-18,NA,0,0,0
14013,9232,7825,31070,2013-06-19,NA,0,0,0
14452,9200,8119,31771,2013-06-20,"Sporting",0,0,0
16679,10458,9566,36703,2013-06-21,NA,0,0,0
19032,12805,10439,42276,2013-06-22,NA,0,0,0
19972,13266,10037,43275,2013-06-23,NA,0,0,0
15516,10380,8222,34118,2013-06-24,NA,0,0,0
14620,9245,7738,31603,2013-06-25,NA,0,0,0
13896,9023,7437,30356,2013-06-26,NA,0,0,0
14578,9134,7745,31457,2013-06-27,NA,0,0,0
17612,10353,8788,36753,2013-06-28,NA,0,0,0
21364,12756,10829,44949,2013-06-29,NA,0,0,0
21044,13539,10240,44823,2013-06-30,NA,0,0,0
18300,11497,8919,38716,2013-07-01,NA,1,1,0
17705,9548,9989,37242,2013-07-02,NA,1,0,1
19894,11644,12461,43999,2013-07-03,NA,1,1,1
17287,11248,8248,36783,2013-07-04,"National",1,0,0
18124,11684,10999,40807,2013-07-05,NA,1,1,1
17843,12766,11223,41832,2013-07-06,NA,1,1,1
20695,13357,10572,44624,2013-07-07,NA,1,1,0
16475,10126,10859,37460,2013-07-08,NA,1,0,1
16104,10405,10744,37253,2013-07-09,"Religious",1,1,1
16039,9084,9456,34579,2013-07-10,NA,1,0,0
14923,10818,10620,36361,2013-07-11,NA,0,1,1
16907,12245,12127,41279,2013-07-12,NA,0,1,1
19047,14227,11911,45185,2013-07-13,NA,0,1,0
20294,13436,12942,46672,2013-07-14,NA,0,0,1
15533,11083,11008,37624,2013-07-15,NA,0,1,1
14502,9368,10067,33937,2013-07-16,NA,0,0,0
14508,9028,8931,32467,2013-07-17,NA,0,0,0
14971,9740,9210,33921,2013-07-18,NA,0,0,0
16383,9908,9903,36194,2013-07-19,NA,0,0,0
19732,11521,10274,41527,2013-07-20,NA,0,0,0
20560,12539,8940,42039,2013-07-21,NA,0,0,0
14781,9634,7788,32203,2013-07-22,NA,0,0,0
14590,9420,7294,31304,2013-07-23,NA,0,0,0
14347,9662,7459,31468,2013-07-24,NA,0,0,0
15007,9197,7612,31816,2013-07-25,NA,0,0,0
16352,10769,9722,36843,2013-07-26,NA,0,0,0
19286,12360,10026,41672,2013-07-27,NA,0,0,0
19053,12670,8757,40480,2013-07-28,NA,0,0,0
15122,9875,6766,31763,2013-07-29,NA,0,0,0
14093,8944,7125,30162,2013-07-30,NA,0,0,0
14441,8844,7970,31255,2013-07-31,NA,0,0,0
16662,11741,8906,37309,2013-08-01,NA,1,1,0
17874,11721,12068,41663,2013-08-02,NA,1,0,1
20462,13599,13044,47105,2013-08-03,NA,1,1,1
20439,13544,10456,44439,2013-08-04,NA,1,0,0
17120,11628,10401,39149,2013-08-05,NA,1,1,1
15295,10959,10440,36694,2013-08-06,NA,1,1,1
15716,10898,8465,35079,2013-08-07,NA,1,1,0
15548,9665,9673,34886,2013-08-08,"Religious",1,0,1
17285,12564,10850,40699,2013-08-09,NA,1,1,1
21051,12952,10909,44912,2013-08-10,NA,1,0,0
20776,14761,11983,47520,2013-08-11,NA,0,1,1
16617,11232,10904,38753,2013-08-12,NA,0,1,1
14938,11444,8762,35144,2013-08-13,NA,0,1,0
14879,8876,9977,33732,2013-08-14,NA,0,0,1
15213,10974,11456,37643,2013-08-15,NA,0,1,1
16785,9888,11352,38025,2013-08-16,NA,0,0,0
20418,12856,11157,44431,2013-08-17,NA,0,0,0
20883,13267,10744,44894,2013-08-18,NA,0,0,0
16562,10130,8545,35237,2013-08-19,NA,0,0,0
14879,8910,7836,31625,2013-08-20,NA,0,0,0
14871,9440,8322,32633,2013-08-21,NA,0,0,0
14577,9348,7868,31793,2013-08-22,NA,0,0,0
16665,11295,9153,37113,2013-08-23,NA,0,0,0
20575,13847,10414,44836,2013-08-24,NA,0,0,0
23275,14357,10945,48577,2013-08-25,NA,0,0,0
15435,9839,8926,34200,2013-08-26,NA,0,0,0
14572,9332,9059,32963,2013-08-27,NA,0,0,0
14381,9494,8581,32456,2013-08-28,NA,0,0,0
14521,8676,8513,31710,2013-08-29,NA,0,0,0
18431,11093,12097,41621,2013-08-30,NA,0,0,0
21995,13843,12134,47972,2013-08-31,NA,0,0,0
20502,14101,10138,44741,2013-09-01,NA,1,1,0
21384,13152,12536,47072,2013-09-02,"National",1,0,1
16093,10718,10988,37799,2013-09-03,NA,1,1,1
14916,9290,9122,33328,2013-09-04,NA,1,0,0
15153,10489,9783,35425,2013-09-05,NA,1,1,1
17050,10725,10909,38684,2013-09-06,NA,1,1,1
21435,14426,11739,47600,2013-09-07,NA,1,1,0
23603,14880,13257,51740,2013-09-08,NA,1,0,1
17616,11075,11074,39765,2013-09-09,NA,1,1,1
16409,8993,9261,34663,2013-09-10,NA,1,0,0
15382,10173,10640,36195,2013-09-11,NA,0,1,1
15063,10484,11220,36767,2013-09-12,NA,0,1,1
17151,12449,11371,40971,2013-09-13,NA,0,1,0
20484,14457,14225,49166,2013-09-14,NA,0,0,1
21880,15151,13939,50970,2013-09-15,NA,0,1,1
16589,10591,9595,36775,2013-09-16,NA,0,0,0
14832,9327,8412,32571,2013-09-17,NA,0,0,0
14112,9216,7953,31281,2013-09-18,NA,0,0,0
14148,8889,7786,30823,2013-09-19,NA,0,0,0
16931,9211,10139,36281,2013-09-20,NA,0,0,0
20954,13422,11625,46001,2013-09-21,NA,0,0,0
21819,13522,10869,46210,2013-09-22,NA,0,0,0
15148,9423,8213,32784,2013-09-23,NA,0,0,0
14694,8830,7540,31064,2013-09-24,NA,0,0,0
13355,8732,7872,29959,2013-09-25,NA,0,0,0
14062,8652,7934,30648,2013-09-26,NA,0,0,0
15618,10047,9837,35502,2013-09-27,NA,0,0,0
19821,12909,11711,44441,2013-09-28,NA,0,0,0
20788,12740,10868,44396,2013-09-29,NA,0,0,0
15385,9074,8434,32893,2013-09-30,NA,0,0,0
15717,11206,9807,36730,2013-10-01,NA,1,1,0
14460,9063,10377,33900,2013-10-02,NA,1,0,1
15034,10635,11546,37215,2013-10-03,NA,1,1,1
17030,10061,10243,37334,2013-10-04,NA,1,0,0
21356,13640,13781,48777,2013-10-05,NA,1,1,1
22045,14668,13175,49888,2013-10-06,NA,1,1,1
16759,11000,9244,37003,2013-10-07,NA,1,1,0
15637,9239,9668,34544,2013-10-08,NA,1,0,1
15008,9437,10301,34746,2013-10-09,NA,1,1,1
16033,8925,9061,34019,2013-10-10,NA,1,0,0
16112,10626,11355,38093,2013-10-11,NA,0,1,1
19520,12558,14503,46581,2013-10-12,NA,0,1,1
20465,14064,11814,46343,2013-10-13,NA,0,1,0
15592,10831,10413,36836,2013-10-14,"National",0,0,1
13731,9681,9801,33213,2013-10-15,"Religious",0,1,1
13987,9319,9371,32677,2013-10-16,NA,0,0,0
13966,8411,8161,30538,2013-10-17,NA,0,0,0
